County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
151,KS,Pratt County,4249,8816,$202585,$128165,$4964,$7994
153,KS,Rawlins County,1225,2388,$50170,$23972,$1153,$3083
155,KS,Reno County,28443,58411,$1226793,$871323,$28407,$43852
157,KS,Republic County,2458,4892,$88470,$54989,$1487,$4898
159,KS,Rice County,4213,9228,$173707,$120138,$2854,$5517
161,KS,Riley County,22984,45231,$1101685,$785085,$29484,$36055
163,KS,Rooks County,2409,4967,$103676,$60335,$1537,$4910
165,KS,Rush County,1680,3203,$62011,$40034,$950,$3444
167,KS,Russell County,3232,6313,$132376,$74151,$4344,$5754
169,KS,Saline County,25456,51449,$1213803,$819781,$33761,$41501
171,KS,Scott County,2129,4789,$106527,$66159,$2340,$4317
173,KS,Sedgwick County,212442,449029,$11369061,$8421396,$197604,$317859
175,KS,Seward County,8755,23468,$361905,$287359,$5520,$7331
177,KS,Shawnee County,81076,162884,$3935454,$2821809,$75278,$125575
179,KS,Sheridan County,1189,2567,$54107,$27942,$815,$3948
181,KS,Sherman County,2708,5405,$105108,$67155,$1459,$4368
183,KS,Smith County,1917,3831,$71925,$39050,$4319,$5304
185,KS,Stafford County,1920,4121,$74457,$46921,$1928,$3964
187,KS,Stanton County,883,2232,$51157,$26293,$2224,$2762
189,KS,Stevens County,2123,5567,$106643,$71638,$2950,$3114
191,KS,Sumner County,10520,22943,$485145,$366104,$5919,$12466
193,KS,Thomas County,3276,6921,$145708,$95765,$2569,$5623
195,KS,Trego County,1468,2898,$58903,$35829,$842,$2725
197,KS,Wabaunsee County,3022,6687,$142341,$105080,$2203,$5037
199,KS,Wallace County,642,1440,$26631,$15184,$1162,$1330
201,KS,Washington County,2733,5737,$99907,$66807,$1368,$5464
203,KS,Wichita County,951,2300,$42146,$25749,$804,$1713
205,KS,Wilson County,4524,9298,$168540,$115044,$2432,$5700
207,KS,Woodson County,1562,2988,$53891,$38023,$629,$2314
209,KS,Wyandotte County,66986,141844,$2358415,$1918215,$14086,$39915
1,KY,Adair County,7360,15193,$203107,$156400,$1259,$8450
3,KY,Allen County,8292,17426,$274015,$205902,$2643,$6845
5,KY,Anderson County,9545,20636,$435655,$338206,$3120,$11076
7,KY,Ballard County,3904,7973,$147302,$109552,$1435,$4434
9,KY,Barren County,18676,38563,$669846,$490261,$10655,$21897
11,KY,Bath County,5235,10912,$148789,$119122,$833,$3793
13,KY,Bell County,12385,24760,$309433,$233737,$3229,$12298
15,KY,Boone County,49528,110237,$3060454,$2465678,$38446,$52277
17,KY,Bourbon County,9338,19198,$361707,$274111,$7450,$12488
19,KY,Boyd County,22162,44609,$899185,$655283,$11512,$28304
21,KY,Boyle County,12438,25187,$534666,$368444,$14011,$19368
23,KY,Bracken County,4008,8552,$148185,$123967,$1145,$2659
25,KY,Breathitt County,6085,12710,$157539,$123529,$552,$4519
27,KY,Breckinridge County,8586,18210,$287120,$209129,$5127,$9346
29,KY,Bullitt County,33542,71059,$1518387,$1207860,$8930,$25545
31,KY,Butler County,6469,12925,$186701,$144362,$2236,$4864
33,KY,Caldwell County,6081,12212,$205384,$151433,$2588,$6722
35,KY,Calloway County,14820,29382,$567236,$378227,$8612,$21865
37,KY,Campbell County,40467,79948,$2043751,$1551220,$45470,$48062
39,KY,Carlisle County,2377,4898,$81470,$57357,$644,$3262
41,KY,Carroll County,5440,11563,$202419,$162360,$1595,$4667
43,KY,Carter County,12316,26007,$378601,$293184,$1579,$8353
45,KY,Casey County,6748,14054,$166625,$127177,$1813,$5288
47,KY,Christian County,29907,65562,$1069825,$784498,$17568,$26933
49,KY,Clark County,16736,33690,$689385,$516746,$12126,$19684
51,KY,Clay County,9171,19115,$213328,$162505,$1501,$6060
53,KY,Clinton County,4448,9030,$110381,$77490,$377,$3755
55,KY,Crittenden County,4046,8292,$131900,$94880,$1571,$3713
57,KY,Cumberland County,3021,6019,$77846,$56442,$594,$3681
59,KY,Daviess County,44025,90151,$1986061,$1358457,$38227,$61863
61,KY,Edmonson County,5546,11451,$162767,$128772,$589,$4806
63,KY,Elliott County,2627,5667,$71304,$56726,$178,$1692
65,KY,Estill County,6599,13570,$178740,$139964,$672,$4132
67,KY,Fayette County,123394,241842,$6761772,$4884983,$161718,$224958
69,KY,Fleming County,6526,13934,$196993,$154682,$2113,$6844
71,KY,Floyd County,17929,37082,$553606,$408216,$3112,$13739
73,KY,Franklin County,24770,46484,$1093270,$716770,$17336,$37030
75,KY,Fulton County,3237,6143,$87074,$58405,$1379,$4125
77,KY,Gallatin County,2943,6279,$102403,$86547,$434,$1606
79,KY,Garrard County,7199,15061,$256415,$199418,$2986,$7749
81,KY,Grant County,11334,24635,$427440,$354090,$2587,$7291
83,KY,Graves County,16275,34062,$575791,$400429,$7294,$21960
85,KY,Grayson County,11414,23735,$344308,$257168,$2485,$10060
87,KY,Green County,5311,10678,$137249,$105547,$947,$5565
89,KY,Greenup County,16831,35482,$679573,$509136,$6907,$18032
91,KY,Hancock County,3775,8483,$160061,$129211,$934,$3552
93,KY,Hardin County,44095,94190,$1874318,$1407247,$19794,$49263
95,KY,Harlan County,13068,27504,$349881,$272401,$2691,$9835
97,KY,Harrison County,8302,17393,$319027,$248912,$2924,$10490
99,KY,Hart County,7943,16772,$209475,$157254,$2072,$7620
101,KY,Henderson County,21105,42801,$877359,$647844,$14336,$21737
103,KY,Henry County,6874,14549,$275138,$212079,$3367,$7341
105,KY,Hickman County,2204,4412,$74903,$50099,$1346,$2846
107,KY,Hopkins County,21191,44015,$856833,$634393,$14800,$23433
109,KY,Jackson County,5483,11684,$135381,$109921,$468,$2805
111,KY,Jefferson County,344078,661573,$17491363,$12378553,$482193,$532050
113,KY,Jessamine County,19194,41668,$961536,$689778,$12700,$26829
115,KY,Johnson County,10047,21424,$322027,$246602,$1907,$9897
117,KY,Kenton County,72304,146052,$4002341,$2983450,$83775,$84692
119,KY,Knott County,7068,14380,$203926,$158940,$909,$4950
121,KY,Knox County,13579,28614,$340560,$264733,$2109,$9127
123,KY,Larue County,6186,13125,$219318,$164654,$3683,$7434
125,KY,Laurel County,24077,51390,$828499,$633943,$6408,$23046
127,KY,Lawrence County,6758,14460,$207623,$166892,$1156,$4053
