County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
43,GA,Candler County,4187,9026,$130395,$95355,$1862,$4164
45,GA,Carroll County,45150,98959,$1911783,$1483074,$29590,$46436
47,GA,Catoosa County,25926,56017,$1076404,$869389,$5760,$17905
49,GA,Charlton County,3967,8584,$130214,$101890,$1301,$3518
51,GA,Chatham County,110847,215907,$5475901,$3743055,$159557,$188736
53,GA,Chattahoochee County,4316,10470,$118053,$111048,$805,$1004
55,GA,Chattooga County,11065,23090,$334721,$269955,$2775,$7707
57,GA,Cherokee County,82287,189082,$5400909,$4285768,$67960,$111454
59,GA,Clarke County,42042,79469,$1776745,$1234220,$49516,$62639
61,GA,Clay County,1432,2823,$34857,$24366,$693,$1902
63,GA,Clayton County,114568,249659,$3724041,$3284919,$16799,$44491
65,GA,Clinch County,2793,6011,$79118,$64520,$369,$2259
67,GA,Cobb County,304841,640545,$19777509,$15331264,$373265,$457955
69,GA,Coffee County,15938,35040,$511513,$391683,$6819,$18970
71,GA,Colquitt County,17551,37962,$550825,$424364,$9512,$16996
73,GA,Columbia County,45949,107797,$3062400,$2268714,$46515,$73631
75,GA,Cook County,6941,14809,$215225,$166381,$1958,$6522
77,GA,Coweta County,49264,114403,$2754869,$2188473,$39050,$54070
79,GA,Crawford County,5229,11387,$188032,$148389,$1667,$3290
81,GA,Crisp County,9237,19494,$292890,$214057,$4126,$11354
83,GA,Dade County,6685,14100,$240665,$188610,$2889,$4689
85,GA,Dawson County,8731,18781,$477446,$332200,$9086,$15315
87,GA,Decatur County,11944,25157,$384947,$281240,$7040,$14155
89,GA,DeKalb County,307863,599166,$15809199,$12381339,$327889,$373453
91,GA,Dodge County,7871,16387,$260964,$192771,$2232,$8685
93,GA,Dooly County,4449,9298,$138808,$104837,$1543,$5535
95,GA,Dougherty County,41127,82710,$1447194,$1058101,$31814,$41469
97,GA,Douglas County,53283,117894,$2481011,$2073164,$16817,$40604
99,GA,Early County,5009,10423,$157031,$108583,$1866,$6143
101,GA,Echols County,1169,2652,$35362,$29119,$152,$1020
103,GA,Effingham County,20571,47029,$1006228,$837685,$6253,$15283
105,GA,Elbert County,9310,19747,$313245,$218361,$6034,$12964
107,GA,Emanuel County,9791,20890,$275644,$212366,$2833,$9300
109,GA,Evans County,4499,9851,$167561,$115609,$2865,$6064
111,GA,Fannin County,10231,20456,$361186,$210878,$7015,$18631
113,GA,Fayette County,42258,100994,$3552044,$2658803,$58851,$95598
115,GA,Floyd County,38753,84228,$1651707,$1203008,$35699,$50588
117,GA,Forsyth County,59905,148588,$5237179,$4071213,$79471,$120100
119,GA,Franklin County,9713,20837,$325615,$234572,$4691,$14234
121,GA,Fulton County,385928,748403,$29116818,$21009973,$926693,$908439
123,GA,Gilmer County,11627,24568,$447185,$300898,$7509,$18268
125,GA,Glascock County,1174,2553,$39158,$30951,$473,$1098
127,GA,Glynn County,33466,68350,$1791888,$1124386,$67378,$77163
129,GA,Gordon County,23230,54742,$867363,$697349,$6891,$20817
131,GA,Grady County,10133,21615,$342349,$251815,$11410,$12715
133,GA,Greene County,7070,14214,$420397,$216354,$17997,$22685
135,GA,Gwinnett County,309754,726623,$17690017,$14246259,$219506,$349041
137,GA,Habersham County,17204,37393,$723053,$499831,$19815,$35352
139,GA,Hall County,71440,169600,$3696096,$2708758,$75423,$114330
141,GA,Hancock County,3933,7928,$102526,$75842,$1569,$2607
143,GA,Haralson County,11989,25984,$445579,$343490,$9911,$12823
145,GA,Harris County,12482,27719,$740324,$548237,$20085,$16447
147,GA,Hart County,10413,21882,$383100,$257604,$6838,$16395
149,GA,Heard County,4618,10092,$155751,$124612,$759,$2470
151,GA,Henry County,80362,183558,$4160169,$3392468,$32944,$76731
153,GA,Houston County,57870,126632,$2764278,$2121476,$31704,$55228
155,GA,Irwin County,3950,8439,$130382,$96918,$1725,$4559
157,GA,Jackson County,24172,54767,$1127724,$883580,$11406,$28325
159,GA,Jasper County,5962,13080,$233952,$178642,$2664,$6568
161,GA,Jeff Davis County,5821,12696,$169121,$136277,$1801,$6662
163,GA,Jefferson County,7944,16906,$233036,$180301,$2409,$6916
165,GA,Jenkins County,3519,7640,$93528,$72297,$1075,$2878
167,GA,Johnson County,3493,7455,$97844,$79475,$544,$3160
169,GA,Jones County,11659,25890,$526191,$401493,$4580,$11998
171,GA,Lamar County,7289,15213,$260994,$198499,$2688,$6419
173,GA,Lanier County,3373,7404,$98944,$78113,$899,$2789
175,GA,Laurens County,21277,45330,$777538,$580711,$8113,$25580
177,GA,Lee County,11587,27268,$624335,$505017,$8602,$10055
179,GA,Liberty County,24971,58423,$790629,$661188,$5033,$8449
181,GA,Lincoln County,3587,7360,$122096,$87273,$1031,$3854
183,GA,Long County,3763,8612,$115684,$99087,$217,$1675
185,GA,Lowndes County,41683,87033,$1664137,$1235193,$27720,$55212
187,GA,Lumpkin County,10900,22869,$490610,$338848,$7840,$18639
189,GA,McDuffie County,9819,21051,$343328,$260443,$7631,$8129
191,GA,McIntosh County,5125,10216,$175899,$123520,$3528,$5926
193,GA,Macon County,5539,11477,$148111,$114570,$2788,$3864
195,GA,Madison County,11779,25445,$439678,$336435,$4122,$10384
197,GA,Marion County,2943,6458,$94871,$73835,$1028,$2277
199,GA,Meriwether County,10161,21039,$321578,$246351,$5561,$9329
201,GA,Miller County,2458,5171,$81764,$57991,$2596,$3584
205,GA,Mitchell County,9473,19899,$285289,$214395,$3899,$9689
207,GA,Monroe County,10649,22792,$540796,$388725,$8183,$13899
209,GA,Montgomery County,3422,7310,$110387,$87521,$1369,$3516
211,GA,Morgan County,7772,16817,$376859,$259165,$9689,$14476
213,GA,Murray County,16422,38400,$538927,$458967,$2556,$10819
215,GA,Muscogee County,83451,170838,$3591432,$2596313,$148468,$92122
217,GA,Newton County,40384,89627,$1716045,$1382079,$19546,$33761
219,GA,Oconee County,12069,29530,$995274,$669719,$21479,$31614
221,GA,Oglethorpe County,5862,12567,$225765,$171329,$2712,$5323
223,GA,Paulding County,52066,122418,$2699318,$2296353,$13232,$37843
225,GA,Peach County,11173,23322,$428005,$321063,$5633,$10734
227,GA,Pickens County,12974,27261,$689698,$440722,$17791,$27939
229,GA,Pierce County,7573,16566,$265068,$205166,$1840,$8066
231,GA,Pike County,7131,16220,$326962,$253570,$2722,$6864
233,GA,Polk County,17583,38244,$591912,$470197,$7978,$14213
235,GA,Pulaski County,4106,8266,$153581,$106827,$3477,$6371
237,GA,Putnam County,9148,19003,$431289,$266370,$10630,$17892
239,GA,Quitman County,1071,2134,$27929,$19222,$333,$1038
241,GA,Rabun County,7159,14955,$290286,$163639,$9809,$16876
243,GA,Randolph County,3265,6734,$83974,$64258,$1203,$3158
245,GA,Richmond County,87629,175805,$3084450,$2288787,$56536,$76105
247,GA,Rockdale County,34620,76939,$1665918,$1267800,$23159,$36315
249,GA,Schley County,2085,4580,$68259,$54089,$942,$1523
251,GA,Screven County,6411,13288,$210775,$168997,$2730,$6061
253,GA,Seminole County,4021,8344,$120979,$90537,$1480,$4440
255,GA,Spalding County,27369,58414,$984790,$753864,$15650,$24513
257,GA,Stephens County,11741,24341,$412265,$293804,$4426,$16304
259,GA,Stewart County,2128,4264,$52790,$41885,$727,$1479
261,GA,Sumter County,12978,27311,$443668,$320427,$13444,$15257
263,GA,Talbot County,3010,6155,$87792,$68564,$2109,$2368
265,GA,Taliaferro County,813,1564,$20267,$14710,$216,$927
267,GA,Tattnall County,8117,17593,$254775,$192043,$2128,$8728
269,GA,Taylor County,3646,7920,$110496,$85302,$1064,$2558
271,GA,Telfair County,4932,9867,$130931,$95879,$1610,$4703
273,GA,Terrell County,4510,9457,$135145,$101655,$2916,$5902
275,GA,Thomas County,19691,40779,$799491,$570559,$22119,$29171
277,GA,Tift County,16915,36155,$639479,$461919,$10975,$18616
279,GA,Toombs County,11479,24536,$402165,$292186,$4599,$13476
281,GA,Towns County,4841,9177,$203545,$99212,$8221,$13353
283,GA,Treutlen County,2443,5212,$69130,$54923,$571,$2511
285,GA,Troup County,28121,60615,$1143731,$868873,$27324,$29731
287,GA,Turner County,3995,8649,$105665,$87313,$695,$4320
289,GA,Twiggs County,4386,8926,$128204,$103515,$526,$2304
291,GA,Union County,9266,18551,$373011,$204534,$11016,$20134
293,GA,Upson County,12394,25621,$396960,$298321,$6206,$11070
295,GA,Walker County,28898,60270,$982633,$769379,$15610,$20810
297,GA,Walton County,32870,74276,$1678355,$1253363,$18572,$39596
299,GA,Ware County,15382,31222,$502620,$356477,$6150,$17526
301,GA,Warren County,2806,5731,$78248,$61488,$998,$2460
303,GA,Washington County,8927,18748,$348448,$236473,$13172,$13922
305,GA,Wayne County,11541,25208,$424215,$315917,$3882,$9800
307,GA,Webster County,1028,2226,$29954,$23585,$731,$1205
309,GA,Wheeler County,2010,4305,$56735,$45241,$292,$1421
311,GA,White County,10641,22240,$431619,$283006,$10490,$16824
313,GA,Whitfield County,42060,106580,$1714318,$1309340,$34939,$53471
315,GA,Wilcox County,3154,6538,$86850,$68386,$909,$3339
317,GA,Wilkes County,4721,9540,$149977,$106860,$3323,$7991
319,GA,Wilkinson County,4564,9552,$147462,$111593,$1008,$3476
321,GA,Worth County,9411,19944,$325677,$255552,$4144,$8053
1,HI,Hawaii County,78465,152437,$3422825,$2371649,$82592,$119625
3,HI,Honolulu County,427347,841288,$22371980,$16135356,$464083,$663110
5,HI,Kalawao County,-1,-1,$-1,$-1,$-1,$-1
7,HI,Kauai County,30112,57957,$1448507,$1027826,$30353,$45028
9,HI,Maui County,67515,129923,$3349670,$2439662,$63806,$104750
1,ID,Ada County,161816,342093,$9867685,$6943663,$203795,$299995
3,ID,Adams County,1793,3557,$71620,$41036,$2318,$3776
5,ID,Bannock County,32577,70992,$1414001,$1057660,$16596,$35532
7,ID,Bear Lake County,2515,5789,$100294,$71420,$769,$3125
9,ID,Benewah County,4271,8858,$154612,$109386,$2466,$5270
11,ID,Bingham County,17222,42574,$720998,$542527,$7207,$18631
13,ID,Blaine County,9747,20612,$894908,$402539,$60371,$55549
15,ID,Boise County,2995,6257,$152445,$106214,$1806,$4408
17,ID,Bonner County,17900,35952,$770815,$472621,$19368,$40261
19,ID,Bonneville County,39821,94651,$2144941,$1483798,$51150,$62233
21,ID,Boundary County,4704,10137,$167745,$103801,$2372,$6200
23,ID,Butte County,1189,2702,$44235,$33977,$927,$1725
25,ID,Camas County,425,909,$19968,$13476,$405,$620
27,ID,Canyon County,71404,170677,$2862007,$2160356,$30354,$80016
29,ID,Caribou County,2794,6645,$134691,$97046,$2034,$3824
31,ID,Cassia County,8332,21373,$312294,$219079,$4880,$13795
33,ID,Clark County,334,917,$11142,$9200,$98,$322
35,ID,Clearwater County,3926,7742,$138107,$89204,$2505,$5233
37,ID,Custer County,1889,3834,$84324,$59105,$1883,$3743
39,ID,Elmore County,11382,25507,$433891,$332731,$4528,$9206
41,ID,Franklin County,4512,12310,$183838,$139701,$1388,$6294
43,ID,Fremont County,4989,12177,$178717,$130372,$2937,$6117
45,ID,Gem County,7332,15954,$272630,$189292,$10495,$9680
47,ID,Gooding County,6092,14546,$169673,$157186,$3655,$9365
49,ID,Idaho County,6306,12888,$215247,$133226,$5778,$12698
51,ID,Jefferson County,8908,24015,$404630,$300033,$3338,$9827
53,ID,Jerome County,8317,20827,$266659,$228809,$3371,$9429
55,ID,Kootenai County,60444,124830,$2861625,$1880414,$54526,$98373
57,ID,Latah County,14084,28152,$659079,$452143,$14279,$23611
59,ID,Lemhi County,3619,7080,$124367,$72300,$3102,$8157
61,ID,Lewis County,2249,4471,$71430,$45336,$863,$3080
63,ID,Lincoln County,1927,4756,$69649,$56500,$668,$1868
65,ID,Madison County,9665,25565,$426716,$291626,$4146,$12799
67,ID,Minidoka County,8276,19624,$306170,$212265,$3013,$11023
69,ID,Nez Perce County,18187,35780,$777694,$537375,$14721,$27148
71,ID,Oneida County,1663,4012,$68095,$47983,$708,$2276
73,ID,Owyhee County,4465,10757,$135817,$108428,$2099,$5485
75,ID,Payette County,9524,21639,$390858,$260803,$4266,$11832
77,ID,Power County,3022,7387,$116703,$83250,$1325,$3861
79,ID,Shoshone County,6196,11800,$211966,$154650,$3031,$5428
81,ID,Teton County,3629,8448,$207033,$127752,$4185,$7557
83,ID,Twin Falls County,31841,69162,$1284386,$904226,$23031,$49284
85,ID,Valley County,4482,8866,$252585,$131501,$6218,$13733
87,ID,Washington County,4351,9364,$136429,$96429,$2404,$7225
1,IL,Adams County,31429,63291,$1476145,$1004704,$47940,$88048
3,IL,Alexander County,3729,7341,$101842,$72913,$799,$2890
5,IL,Bond County,7289,15105,$314527,$221820,$4921,$11037
7,IL,Boone County,23261,57074,$1364532,$1040444,$22317,$35441
9,IL,Brown County,2313,4738,$98200,$68280,$3340,$3668
11,IL,Bureau County,16724,34223,$759270,$526524,$14803,$29055
13,IL,Calhoun County,2355,4874,$100192,$70456,$1660,$3419
15,IL,Carroll County,7763,15424,$340172,$209630,$5394,$15445
17,IL,Cass County,6282,13347,$247024,$177213,$3929,$7646
19,IL,Champaign County,78431,153486,$4164455,$2895697,$107847,$138747
21,IL,Christian County,16337,33042,$715635,$482223,$12878,$23671
23,IL,Clark County,7833,16084,$325829,$222727,$12752,$11809
25,IL,Clay County,6835,13781,$242584,$168091,$3404,$7836
27,IL,Clinton County,16748,34847,$828547,$608236,$12331,$29292
29,IL,Coles County,21405,41634,$922583,$622660,$20417,$38140
31,IL,Cook County,2350974,4754875,$135079847,$99573469,$3398529,$12250320
33,IL,Crawford County,8980,18102,$401622,$273246,$9110,$12941
35,IL,Cumberland County,5017,10540,$200533,$141818,$2747,$7674
37,IL,DeKalb County,41384,87278,$2251225,$1679303,$40336,$71282
39,IL,De Witt County,7741,15795,$367299,$259514,$4981,$11766
41,IL,Douglas County,9570,20376,$430309,$285314,$6774,$17866
43,IL,DuPage County,407169,893284,$34369049,$25032430,$871749,$1177184
45,IL,Edgar County,8826,17657,$350577,$242809,$5492,$12950
47,IL,Edwards County,3152,6457,$123226,$85927,$3406,$4789
49,IL,Effingham County,16018,33928,$805520,$525323,$18684,$38187
51,IL,Fayette County,9679,19827,$371843,$249235,$7191,$12730
53,IL,Ford County,6604,13633,$294722,$193146,$4280,$11833
55,IL,Franklin County,18937,37618,$684223,$450874,$9707,$22565
57,IL,Fulton County,17034,34118,$667181,$479362,$9471,$24778
59,IL,Gallatin County,2779,5563,$104599,$69526,$2001,$4554
61,IL,Greene County,6433,13232,$224797,$160105,$2658,$8434
63,IL,Grundy County,22449,49635,$1368494,$1036231,$19263,$31863
65,IL,Hamilton County,3850,7861,$138335,$93842,$1397,$7039
67,IL,Hancock County,9148,18601,$371375,$251178,$7537,$14296
69,IL,Hardin County,2032,3970,$65019,$46613,$544,$2356
71,IL,Henderson County,3583,7056,$140007,$95796,$2117,$4738
73,IL,Henry County,23670,49697,$1150000,$802851,$21952,$40893
75,IL,Iroquois County,14353,29663,$616235,$407296,$12051,$25892
77,IL,Jackson County,23643,44031,$936130,$631863,$22060,$32210
79,IL,Jasper County,4585,9746,$192160,$127246,$3404,$8498
81,IL,Jefferson County,17536,35323,$723717,$504533,$14376,$25136
83,IL,Jersey County,10554,21903,$483634,$345541,$7855,$14369
85,IL,Jo Daviess County,10787,21909,$552416,$319924,$17610,$33817
87,IL,Johnson County,5071,10608,$194200,$136399,$2476,$5332
89,IL,Kane County,202507,485356,$13915903,$10774510,$246778,$371965
91,IL,Kankakee County,50146,105227,$2303246,$1715317,$34958,$63732
93,IL,Kendall County,45662,109610,$3123490,$2551257,$30659,$59316
95,IL,Knox County,24521,47142,$967638,$653051,$19040,$34012
97,IL,Lake County,283038,664430,$27756003,$19446130,$835366,$1086587
99,IL,LaSalle County,54058,110155,$2565105,$1854262,$46184,$93949
101,IL,Lawrence County,6951,13875,$270461,$186860,$5555,$10113
103,IL,Lee County,16465,33373,$758685,$536111,$15009,$24361
105,IL,Livingston County,17335,35601,$845085,$560283,$11538,$31102
107,IL,Logan County,12963,25775,$568819,$390384,$8890,$20059
109,IL,McDonough County,12490,23939,$523954,$340092,$10929,$22810
111,IL,McHenry County,130772,307427,$9633316,$7419071,$152264,$254403
113,IL,McLean County,69049,144929,$4261954,$3193832,$72004,$126744
115,IL,Macon County,52319,103134,$2624029,$1827489,$56342,$92598
117,IL,Macoupin County,22578,45850,$971265,$683369,$16633,$32652
119,IL,Madison County,125064,252566,$6353504,$4646987,$114539,$181899
121,IL,Marion County,18822,37806,$701790,$495685,$15310,$22553
123,IL,Marshall County,6171,12500,$283010,$193727,$5080,$11681
125,IL,Mason County,7183,14628,$290510,$197939,$4679,$10380
127,IL,Massac County,7355,14868,$270724,$195540,$4463,$9103
129,IL,Menard County,5904,12461,$312414,$217396,$4372,$9071
131,IL,Mercer County,8014,16818,$365354,$262644,$5015,$13896
133,IL,Monroe County,14663,32240,$983861,$734541,$20519,$29280
135,IL,Montgomery County,13549,27486,$573092,$387858,$10990,$23249
137,IL,Morgan County,16413,31901,$723887,$478392,$16096,$29497
139,IL,Moultrie County,6701,14218,$316463,$207816,$4365,$12574
141,IL,Ogle County,24688,53353,$1251909,$920281,$25075,$37674
143,IL,Peoria County,87275,173852,$5005693,$3617466,$122646,$166967
145,IL,Perry County,9402,19212,$356975,$251495,$6732,$11175
147,IL,Piatt County,7474,15988,$421324,$293186,$7496,$14667
149,IL,Pike County,7345,15136,$271091,$187753,$4158,$13324
151,IL,Pope County,1862,3638,$63611,$42923,$664,$2250
153,IL,Pulaski County,2997,5975,$87054,$64366,$998,$2362
155,IL,Putnam County,2848,5874,$153070,$100462,$2934,$7105
157,IL,Randolph County,14224,28768,$600046,$423981,$11149,$22693
159,IL,Richland County,7651,15438,$312750,$204387,$6089,$12593
161,IL,Rock Island County,71275,139216,$3369575,$2443298,$76454,$116603
163,IL,St. Clair County,121900,248239,$5881936,$4330056,$111640,$153443
165,IL,Saline County,11850,23557,$418036,$288965,$6392,$16902
167,IL,Sangamon County,94497,184763,$5103885,$3478165,$103476,$177607
169,IL,Schuyler County,3354,6833,$133523,$93598,$1520,$4994
171,IL,Scott County,2338,4893,$99452,$69918,$1171,$3272
173,IL,Shelby County,10127,21010,$422413,$289636,$7188,$17044
175,IL,Stark County,2841,5940,$126520,$76989,$2142,$5261
177,IL,Stephenson County,22495,45536,$1008913,$687639,$22532,$41985
179,IL,Tazewell County,62493,128883,$3416392,$2442165,$62918,$120584
181,IL,Union County,8354,16832,$314230,$218979,$5060,$10170
183,IL,Vermilion County,37591,75084,$1436528,$1010439,$22476,$44086
185,IL,Wabash County,5683,11663,$249431,$172521,$6436,$9182
187,IL,Warren County,7808,15958,$318287,$210081,$6273,$12155
189,IL,Washington County,6993,14477,$355416,$236623,$6424,$12691
191,IL,Wayne County,7736,15725,$291212,$194336,$5894,$11434
193,IL,White County,7164,14330,$291324,$190429,$8433,$14618
195,IL,Whiteside County,28594,58350,$1249047,$868572,$27397,$45842
197,IL,Will County,274298,650230,$19251428,$15191116,$255530,$430532
199,IL,Williamson County,30118,60301,$1234869,$862912,$21718,$42111
201,IL,Winnebago County,137011,284313,$6700803,$4936721,$132757,$179763
203,IL,Woodford County,16193,36766,$1097744,$750442,$20256,$41866
1,IN,Adams County,13991,33430,$627015,$418353,$8793,$21071
3,IN,Allen County,156312,333341,$8134436,$5892491,$180589,$237916
5,IN,Bartholomew County,34832,77469,$1876138,$1378985,$35985,$53106
7,IN,Benton County,4038,8662,$165914,$116387,$2508,$5188
9,IN,Blackford County,6369,12972,$233762,$171353,$3756,$6220
11,IN,Boone County,22717,52367,$1913656,$1349495,$47259,$61723
13,IN,Brown County,7562,15247,$360873,$246359,$6868,$9902
15,IN,Carroll County,9067,19740,$410874,$300748,$4605,$11865
17,IN,Cass County,17744,38473,$720432,$539296,$8648,$21545
19,IN,Clark County,51475,103943,$2211555,$1731289,$26305,$51121
21,IN,Clay County,12332,26318,$473061,$367678,$4768,$11448
23,IN,Clinton County,15664,34730,$641008,$486201,$8866,$16165
25,IN,Crawford County,4918,10160,$155916,$126374,$985,$3658
27,IN,Daviess County,12725,28648,$530466,$359474,$8729,$18030
29,IN,Dearborn County,22912,49449,$1202029,$928838,$18796,$25516
31,IN,Decatur County,11967,25665,$531410,$387088,$9766,$14945
